Timestamp,Grade,CanteenVisit,EatFreq,TimeOfDay,GroupSize,AvgSpend,FoodCat,MainReason,FoodQuality,FoodPrice,Cleanliness,QueueSys,QueueTime,Ambience,SeatComfort,AirCirc,OutOfStock,CantHours
27/05/2025 16:15,B27,Sehari sekali,3,Siang,1,Rp 26.000 - Rp 30.000,Makanan cepat saji,Rasa makanan,4,4,4,4,4,4,4,4,1,3
27/05/2025 16:18,B27,Sehari sekali,4,Siang,4,Rp 26.000 - Rp 30.000,Makanan cepat saji,Rasa makanan,3,4,4,4,4,3,3,4,1,2
27/05/2025 16:18,B27,Sehari sekali,3,Siang,2,> Rp 30.000,Makanan cepat saji,Rasa makanan,4,4,4,4,4,4,4,4,1,2
27/05/2025 16:19,B27,Sehari sekali,3,Sore,3,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,5,5,5,5,5,5,5,5,5,5
27/05/2025 16:20,B27,Beberapa kali dalam satu minggu,2,Siang,3,> Rp 30.000,Makanan berbasis nasi,Rasa makanan,5,5,5,5,5,5,5,5,5,5
27/05/2025 16:59,B27,Beberapa kali dalam satu minggu,2,Siang,7,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,3,5,2,3,4,5,5,3,5
27/05/2025 19:11,B27,Beberapa kali dalam sehari,3,Siang,5,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Rasa makanan,4,3,4,3,4,3,3,3,3,3
27/05/2025 19:14,B27,Sehari sekali,2,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,4,3,4,2,3,4,3,4,3,1
27/05/2025 21:07,B27,Beberapa kali dalam satu minggu,3,Pagi,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,3,3,3,4,3,4,4,3,4,3
27/05/2025 21:07,B27,Sehari sekali,3,Siang,3,Rp 26.000 - Rp 30.000,Makanan cepat saji,Fasilitas,4,3,5,3,4,4,3,4,3,1
27/05/2025 22:32,B27,Beberapa kali dalam sehari,5,Pagi,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,3,4,4,4,3,4,4,4,4
28/05/2025 00:29,B27,Beberapa kali dalam satu minggu,1,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,4,2,2
28/05/2025 00:31,B27,Beberapa kali dalam sehari,3,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,3,3,2,2,2,3,3,2,3,2
28/05/2025 00:32,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,3,2,2,3,3,2,2,3,3,2
28/05/2025 00:51,B27,Beberapa kali dalam satu minggu,4,Siang,1,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,3,2,2
